STATION,NAME,DATE,ACMH,ACSH,AWND,DAPR,FMTM,FRGT,MDPR,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WDF1,WDF2,WDF5,WDFG,WSF1,WSF2,WSF5,WSFG,WT01,WT02,WT03,WT04,WT05,WT07,WT08,WT09,WT16,WT18
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",1/1/1960,,,,,,,,,0,0,0,,49,30,,,,,,,,,,,,,,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",1/2/1960,,,,,,,,,0,0,0,,49,29,,,,,,,,,,,,,,,,,,1,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",1/3/1960,,,,,,,,,0,0,0,,54,35,,,,,,,,,,,,,,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",1/4/1960,,,,,,,,,0,0,0,,54,36,,,,,,,,,,,,,,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",1/5/1960,,,,,,,,,0,0,0,,55,33,,,,,,,,,,1,,,,,,1,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",1/6/1960,,,,,,,,,0,0,0,,53,38,,,,,,,,,,,,,,,,1,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",1/7/1960,,,,,,,,,0,0,0,,56,46,,,,,,,,,,,,,,,,1,,1,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",1/8/1960,,,,,,,,,0.45,0,0,,54,49,,,,,,,,,,1,,,,,,,,1,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",1/9/1960,,,,,,,,,0.61,0,0,,51,46,,,,,,,,,,1,,,,,,,,1,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",1/10/1960,,,,,,,,,0.08,0,0,,55,46,,,,,,,,,,,,,,,,,,1,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",1/11/1960,,,,,,,,,0.48,0,0,,53,43,,,,,,,,,,1,,,,,,,,1,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",1/12/1960,,,,,,,,,0,0,0,,53,37,,,,,,,,,,,,,,,,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",1/13/1960,,,,,,,,,0.05,0,0,,49,33,,,,,,,,,,,,,,,,,,1,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",1/14/1960,,,,,,,,,0.67,0,0,,48,40,,,,,,,,,,,,,,,,,,1,
